AREA,PERIMETER,CIT0002_,CIT0002_ID,FPL,STATFIPS,PLACFIPS,NAME,STATE,TOTALPOP,HOUSEUNT,LANDAREA,WATRAREA,LAT,LONG,observed
0.0,0.00328,174.0,67.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00434,175.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
0.00091,0.15989,177.0,7.0,765,35,00765,Acomita Lake CDP,NM,273,77,8852.0,306.0,+35.070173,-107.613031,
0.00121,0.2286,178.0,8.0,55340,35,55340,Paraje CDP,NM,622,236,12218.0,0.0,+35.046056,-107.467315,
0.0,0.00478,179.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
0.0,0.00926,180.0,9.0,52300,,,,,0,0,0.0,0.0,,,
0.00062,0.12673,181.0,10.0,52300,,,,,0,0,0.0,0.0,,,
0.00064,0.18557,182.0,75.0,0,,,,,0,0,0.0,0.0,,,
1e-05,0.01639,183.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
0.00139,0.18677,184.0,11.0,71440,35,71440,Seama CDP,NM,403,143,14045.0,22.0,+35.047433,-107.527463,
0.00106,0.22405,185.0,78.0,66720,35,66720,Sandia CDP,NM,6742,1860,10769.0,0.0,+35.053500,-106.565248,
1e-05,0.02197,186.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
5e-05,0.0341,188.0,81.0,0,,,,,0,0,0.0,0.0,,,
1e-05,0.0106,189.0,80.0,0,,,,,0,0,0.0,0.0,,,
0.00058,0.19736,190.0,12.0,37070,35,37070,Laguna CDP,NM,434,170,5857.0,11.0,+35.038613,-107.392558,
0.00157,0.21476,191.0,13.0,73440,35,73440,Skyline-Ganipa CDP,NM,946,218,15896.0,0.0,+35.034567,-107.615253,
0.00249,0.2671,192.0,14.0,48200,35,48200,Mesita CDP,NM,627,178,25173.0,49.0,+35.013102,-107.330675,
4e-05,0.03064,193.0,82.0,0,,,,,0,0,0.0,0.0,,,
0.0006,0.12465,194.0,1.0,22370,35,22370,Edgewood CDP,NM,3324,1231,140544.0,57.0,+35.083944,-106.174906,
